title,content,language,keywords,category
Law on Protecting Drinking Water Sources from Pollution( قانون حماية مصادر المياه الصالحة للشرب من التلوث في عمان),"Article 4: Compliance by Water Suppliers
Owners of drinking water wells, transportation vehicles, and distribution networks must comply with health and environmental requirements specified by the Ministry in coordination with competent authorities. Drinking water must meet national quality standards. Selling or establishing private networks for drinking water requires environmental permits in accordance with the Minister’s rules.

Article 5: Pollution Control
Owners must adopt best available techniques and methods approved by the Ministry to minimize or treat pollutants affecting water sources, considering provisions of Article 3.

Article 6: Laboratory Standards
The Ministry shall approve all laboratories conducting tests on drinking water and wastewater. Results from unapproved laboratories will not be accepted.",English,"Drinking Water, Water Quality, Water Suppliers, Pollution Control, Laboratory Standards, Water Testing, ","Environment, Law, Public Health, Water quality and Control"
"


Law on Protecting Drinking Water Sources from Pollution( قانون حماية مصادر المياه الصالحة للشرب من التلوث في عمان)
 
 
         

","Article 7: Septic Tanks and Retention Systems
Building septic tanks, followed by retention tanks or absorption systems, is permitted for facilities producing less than 150 population-equivalent waste. Larger facilities must use treatment plants according to legal annexes.

Article 8: Non-Domestic Waste Disposal
Non-domestic hazardous waste must be treated to meet legal standards before disposal into wastewater networks. Rainwater networks must not be used for wastewater or pollutants.

Article 9: Solid Waste Management
Non-hazardous solid waste must be disposed of in licensed landfill sites. Mixing non-hazardous solid waste with hazardous waste is prohibited.

Article 10: Licensing of Disposal Sites
Competent authorities must obtain Ministry approval for landfill sites and submit environmental impact assessments. The Ministry’s approval is required before utilizing these sites.

Tables and Annexes
Table A: Standards for Wastewater Discharge
| Parameter                               | Standard (mg/L unless stated) |
|-----------------------------------------------|------------------------------------|
| Biochemical Oxygen Demand (BOD) (5 days, 20°C) |        20                         |
| Chemical Oxygen Demand (COD)                    |       200                         |
| Total Suspended Solids (TSS)                    |        30                         |
| Total Dissolved Solids (TDS)                    |      2000                         |
| Electrical Conductivity (µS/cm)              |      2700                         |
| Sodium Absorption Ratio (SAR)                    |        10                         |
| pH Range                                      |         6-9                       |
| Aluminum                                      |         5                         |
| Arsenic                                      |        0.01                        |
| Barium                                       |         2                         |
| Boron                                        |         1                         |
| Cadmium                                       |        0.01                        |

Table B: Heavy Metals in Sludge for Agricultural Use
| Metal  | Max Concentration in Sludge (mg/kg) | Max Application Rate (kg/ha) | Max Soil Concentration (mg/kg) |
|------------|----------------------------------------|-----------------------------------|------------------------------------|
| Cadmium (Cd) |              3                         |               1.5                  |             20                     |
| Chromium (Cr) |            1000                        |               10                   |            400                     |
| Copper (Cu)  |            1000                        |               10                   |            150                     |
| Lead (Pb)   |             300                        |               15                   |             30                     |
| Mercury (Hg) |             10                         |                1                   |              1                     |
| Nickel (Ni)  |             300                        |                3                   |             75                     |
| Zinc (Zn)   |            3000                        |               15                   |            300                     |

Additional Discharge Parameters (Annex Table)
| Substance             | Max Allowable Concentration (mg/L) |
|--------------------------|----------------------------------------|
| Sulfides (as Sulfide Ion) |              0.5                         |
| Sulfates (as Sulfate Ion) |             500                         |
| Phenols                   |              5                         |
| Cyanide                   |             0.01                        |
| Detergents (biodegradable) |             30                         |

Absorption Field Design Guidelines
| Soil Type | Percolation Rate (minutes/inch) | Field Size Required (sq.ft) |
|---------------|------------------------------------|---------------------------------|
| Sandy Soil    |                0-5                  |             450                 |
| Loamy Soil    |               6-15                   |             600                 |
| Clay Soil     |              16-30                   |             900                 |
",English,"Wastewater, Septic Tanks, Retention Tanks, Absorption Field, Non-Domestic Hazardous Waste, Hazardous Waste, Solid Waste Management, Sanitary Landfill Site, Waste Disposal, Wastewater Discharge, Biochemical Oxygen Demand (BOD), Chemical Oxygen Demand (COD), Total Suspended Solids (TSS), Total Dissolved Solids (TDS), Electrical Conductivity, Sodium Absorption Ratio (SAR), pH, Aluminum, Arsenic, Barium, Boron, Cadmium, Sludge, Heavy Metals, Agriculture, Cadmium, Chromium, Copper, Lead, Mercury, Nickel, Zinc, Soil Contamination, Sulfides, Sulfates, Phenols, Cyanide, Detergents, Absorption Field, Wastewater Treatment, Soil Type, Percolation Rate","Environment, Law, Waste Management"
"


Law on Protecting Drinking Water Sources from Pollution( قانون حماية مصادر المياه الصالحة للشرب من التلوث في عمان)
 
 
         
","Table C: Guidelines for Treated Wastewater Use
| Use                                                        | Category A                       | Category B     |
|-----------------------------------------------------------------|---------------------------------------|-------------------------|
| Vegetables eaten raw within 2 weeks                            | Permitted under strict controls        | Not permitted          |
| Processed or cooked vegetables                                 | Permitted                            | Permitted              |
| Parks, recreation areas                                        | Permitted                            | Restricted to low contact |",English,"Treated Wastewater, Wastewater Reuse, Irrigation, Agriculture, Public Health","Environment, Wastewater, Public Health"
"Establishment of the Green Mountain Landscape Reserve
12 Jul 2020
(تأسيس محمية الجبل الأخضر الطبيعية
12 يوليو 2020)","Royal Decree No. 80/2011 Establishing the Green Mountain Scenic Reserve We, Qaboos bin Said, Sultan of Oman. Having perused the Basic Statute of the State, promulgated by Royal Decree No. 101/96, and the Law on Nature Reserves and Wildlife Conservation, promulgated by Royal Decree No. 6/2003, and in consideration of the public interest, We have decreed the following: Article 1 A natural reserve shall be established under the name of the Green Mountain Scenic Reserve, and the area defined by its dimensions in the attached annex and map shall be allocated to it.",English,"oyal Decree, 80/2011, Qaboos bin Said, Sultan of Oman, Basic Statute of the State, Law on Nature Reserves and Wildlife Conservation, Green Mountain Scenic Reserve, Jebel Akhdar, public interest, establishment, annex, map, boundaries","Legal, Environmental, Governance"
"Establishment of the Green Mountain Landscape Reserve
12 Jul 2020
(تأسيس محمية الجبل الأخضر الطبيعية
12 يوليو 2020)"," Article 2 The Minister of Environment and Climate Affairs shall issue the regulations and decisions implementing this decree in coordination with the relevant ministries and authorities, provided that they include the method of managing the reserve, the rules regulating entry thereto, the prescribed fees for that, the times of presence therein, the works permitted to be practiced, and those that are prohibited from being practiced, and the appropriate penalties in each case. Article 3 This decree shall be published in the Official Gazette, and shall come into force from the day following the date of its publication. Issued on: 17 Ramadan 1432 AH Corresponding to 17 August 2011 AD Qaboos bin Said Sultan of Oman",English,"Minister of Environment and Climate Affairs, regulations, decisions, management, entry rules, fees, visiting hours, permitted activities, prohibited activities, penalties, coordination, Official Gazette, publication, effective date, 17 Ramadan 1432 AH, 17 August 2011 AD, Qaboos bin Said, Sultan of Oman","Legal, Environmental, Governance"
"Establishing Turtle Reserve English
23 Apr 1996(تأسيس محمية السلاحف
23 أبريل 1996)
","Royal Decree No. 25/96 Establishing the Turtle Reserve We, Qaboos bin Said, Sultan of Oman, Having perused Royal Decree No. 26/75 issuing the Law on the Organization of the State Administrative Apparatus and its amendments, Royal Decree No. 26/97 issuing the Law on National Parks and Protected Natural Sites and its amendments, and Royal Decree No. 10/82 issuing the Law on Environmental Protection and Pollution Control and its amendments, and based on the public interest, We have decreed the following: Article (1) The area defined by its dimensions in the attached annex and map shall be designated as a protected natural site under the name (Turtle Reserve).",English,"Royal Decree, 25/96, Qaboos bin Said, Sultan of Oman, Turtle Reserve, protected natural site, Law on the Organization of the State Administrative Apparatus, Law on National Parks and Protected Natural Sites, Law on Environmental Protection and Pollution Control, public interest, establishment, annex, map","Legal, Environmental, Governance"
"Establishing Turtle Reserve English
23 Apr 1996(تأسيس محمية السلاحف
23 أبريل 1996)","Article (2): The Minister of Regional Municipalities and Environment shall issue the regulations and decisions implementing this decree in coordination with the relevant ministries and authorities, provided that they include the rules regulating entry to the reserve, the prescribed fees for that, the times of presence therein, the works permitted to be practiced, and those that are prohibited from being practiced, and the appropriate penalties in each case. Article (3): This decree shall be published in the Official Gazette and shall come into force from the date of its publication. Qaboos bin Said Qaboos bin Said Sultan of Oman Issued on 5 Dhu al-Hijjah 1416 AH Corresponding to 23 April 1996 AD Official Gazette Issue No. (573)",English,"Minister of Regional Municipalities and Environment, regulations, decisions, management, entry rules, fees, visiting hours, permitted activities, prohibited activities, penalties, coordination, Official Gazette, publication, effective date, 5 Dhu al-Hijjah 1416 AH, 23 April 1996 AD","Legal, Environmental, Governance"
"Establishing Turtle Reserve English
23 Apr 1996(تأسيس محمية السلاحف
23 أبريل 1996)",Appendix for Determining the Dimensions of the Turtle Reserve The dimensions of the Turtle Reserve referred to are defined according to the following coordinates: North West (59) degrees (41) minutes East (23) degrees (52) minutes North North East (59) degrees (48) minutes East (23) degrees (52) minutes North East (59) degrees (51) minutes East (23) degrees (25) minutes North South East (59) degrees (48) minutes East (23) degrees (13) minutes North South (59) degrees (45) minutes East (22) degrees (11) minutes North West (59) degrees (48) minutes East (22) degrees (19) minutes North The total area of the reserve is (120) one hundred and twenty square kilometers. Official Gazette Issue No. (573),English,"Turtle Reserve, dimensions, coordinates, North West, North East, East, South East, South, West, area, 120 square kilometers, Appendix, Official Gazette","Legal, Environmental, Geographica"
"تأسيس محمية نجوم هجار الغربية في محافظة الداخلية Establishing the Western Hajar Starlight Reserve in the Governorate of Dakhiliyah
12 Jul 2020
Nature Conversation  
12 يوليو 2020  
حماية الطبيعة","Note: This is a translated version of the royal decree. In case of discrepancy between the Arabic original and English translation, the Arabic text prevails.

Royal Decree 40/2019
Establishing the Western Hajar Starlight Reserve in the Governorate of Dakhiliyah

We, Qaboos bin Said, the Sultan of Oman,
after perusal of the Basic Statute of the State promulgated by Royal Decree 101/96,
and the Natural Reserves and Wildlife Conservation Law promulgated by Royal Decree 6/2003,
and in pursuance of public interest,

have decreed as follows:

Article I

A natural reserve named Western Hajar Starlight Reserve in the Governorate of Dakhiliyah is
hereby established, and the area, of which the dimensions are specified in the attached annex and
map, is hereby designated to it.

Article II

The Minister of Environment and Climate Affairs shall issue the regulations and decisions for
implementing this decree in coordination with the concerned ministries and bodies, provided they
include the manner for managing the reserve, rules governing public entry, prescribed fees, timing
of visits, permitted activities, banned activities, and appropriate administrative penalties in each
case.

Article III

This decree shall be published in the Official Gazette and shall come into force on the day following
the date of its publication.

Issued on: 2 Ramadan 1440
Corresponding to: 8 May 2019

Qaboos bin Said
Sultan of Oman",English,"Royal Decree 40/2019, Western Hajar Starlight Reserve, Governorate of Dakhiliyah, Qaboos bin Said, Sultan of Oman, Basic Statute of the State, Natural Reserves and Wildlife Conservation Law, Official Gazette, 2 Ramadan 1440, 8 May 2019, Minister of Environment and Climate Affairs","Omani Law, Environmental Law, Nature Reserves, Royal Decrees, Starlight Reserves"
"تأسيس محمية نجوم هجار الغربية في محافظة الداخلية  
12 يوليو 2020  
حماية الطبيعة                        Establishing the Western Hajar Starlight Reserve in the Governorate of Dakhiliyah
12 Jul 2020
Nature Conversation","Note: This is a translated version of the royal decree. In case of discrepancy between the Arabic original and English translation, the Arabic text prevails.

Annex Specifying the Dimensions of the Western Hajar Starlight Reserve in the Governorate of
Al-Dakhiliyah

The dimensions of the Western Hajar Starlight Reserve in the Governorate of Al-Dakhiliyah are
hereby specified in accordance with the following coordinates:

No | East | North
---|---|---
1 | 506000 | 2592000
2 | 510000 | 2588000
3 | 520000 | 2583000
4 | 529000 | 2575000
5 | 530000 | 2568000
6 | 530000 | 2563000
7 | 524000 | 2563000
8 | 520000 | 2570000
9 | 513000 | 2570000
10 | 505000 | 2573000
11 | 504000 | 2580000
12 | 505000 | 2585000
13 | 506000 | 2592000",English,"Western Hajar Starlight Reserve, Al-Dakhiliyah, Dimensions, Coordinates, East, North, UTM","Omani Law, Environmental Law, Nature Reserves, Western Hajar Starlight Reserve, Geographic Coordinates, UTM"
"تأسيس محمية نجوم هجار الغربية في محافظة الداخلية  
12 يوليو 2020  
حماية الطبيعة                        Establishing the Western Hajar Starlight Reserve in the Governorate of Dakhiliyah
12 Jul 2020
Nature Conversation","Note: This is a translated version of the royal decree. In case of discrepancy between the Arabic original and English translation, the Arabic text prevails.

THIS MAP IS NOT AN AUTHORITY ON INTRANATIONAL NOR ADSONISTRATIVE BOUNDARIES
Projection: UTM Zone 40N
Datas: WGS 1984",English,"Map, Boundaries, Projection, UTM Zone 40N, Datas, WGS 1984, Disclaimer","Cartography, Map Projection, UTM, WGS 1984, Legal Disclaimer"
